branch_slug,branch_name,branch_name_ar,branch_display_name,branch_display_name_ar,branch_address,branch_address_ar,phone_primary,phone_secondary,landline,whatsapp,category,item,variant,price_sar
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Broast Chicken,regular,19
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Chicken Nuggets,regular,18
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Shrimp Broast,regular,23
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Chicken Strips,regular,18
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Kids Meal,regular,18
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Broast,Fish Fillet,regular,19
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Nuggets,sandwich,8
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Nuggets,meal,15
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Nuggets,sandwich,9
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Nuggets,meal,16
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Shrimp,sandwich,10
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Shrimp,meal,17
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Shrimp,sandwich,11
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Shrimp,meal,18
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Fish,sandwich,9
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Fish,meal,16
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Fish,sandwich,11
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Fish,meal,18
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Strips,sandwich,9
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Strips,meal,16
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Strips,sandwich,9
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Sandwich Jumbo Strips,meal,16
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Chicken Sandwich,sandwich,5
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Chicken Sandwich,meal,12
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Tikka Roll,sandwich,8
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sandwiches,Tikka Roll,meal,15
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Potato Cheese,regular,10
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Potato Rings,regular,8
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Chicken Popcorn,regular,8
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Potato Wedges,regular,10
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,French Fries,small,6
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,French Fries,medium,8
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,French Fries,large,14
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Onion Rings,regular,7
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Sides,Coleslaw Salad,regular,4
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Special Sauces,Garlic Sauce,regular,1
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Special Sauces,Garlic Spicy,regular,1.5
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Special Sauces,Cocktail,regular,2
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Special Sauces,Cheese,regular,2
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014,Taza Special Sauces,Dynamic Sauce,regular,2
