branch_slug,category,item,variant,price_sar
al-ajaweed,Taza Broast,Broast Chicken,regular,19
al-ajaweed,Taza Broast,Chicken Nuggets,regular,18
al-ajaweed,Taza Broast,Shrimp Broast,regular,23
al-ajaweed,Taza Broast,Chicken Strips,regular,18
al-ajaweed,Taza Broast,Kids Meal,regular,18
al-ajaweed,Taza Broast,Fish Fillet,regular,19
al-ajaweed,Taza Sandwiches,Sandwich Nuggets,sandwich,8
al-ajaweed,Taza Sandwiches,Sandwich Nuggets,meal,15
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Nuggets,sandwich,9
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Nuggets,meal,16
al-ajaweed,Taza Sandwiches,Sandwich Shrimp,sandwich,10
al-ajaweed,Taza Sandwiches,Sandwich Shrimp,meal,17
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Shrimp,sandwich,11
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Shrimp,meal,18
al-ajaweed,Taza Sandwiches,Sandwich Fish,sandwich,9
al-ajaweed,Taza Sandwiches,Sandwich Fish,meal,16
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Fish,sandwich,11
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Fish,meal,18
al-ajaweed,Taza Sandwiches,Sandwich Strips,sandwich,9
al-ajaweed,Taza Sandwiches,Sandwich Strips,meal,16
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Strips,sandwich,9
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Strips,meal,16
al-ajaweed,Taza Sandwiches,Chicken Sandwich,sandwich,5
al-ajaweed,Taza Sandwiches,Chicken Sandwich,meal,12
al-ajaweed,Taza Sandwiches,Tikka Roll,sandwich,8
al-ajaweed,Taza Sandwiches,Tikka Roll,meal,15
al-ajaweed,Taza Sides,Potato Cheese,regular,10
al-ajaweed,Taza Sides,Potato Rings,regular,8
al-ajaweed,Taza Sides,Chicken Popcorn,regular,8
al-ajaweed,Taza Sides,Potato Wedges,regular,10
al-ajaweed,Taza Sides,French Fries,small,6
al-ajaweed,Taza Sides,French Fries,medium,8
al-ajaweed,Taza Sides,French Fries,large,14
al-ajaweed,Taza Sides,Onion Rings,regular,7
al-ajaweed,Taza Sides,Coleslaw Salad,regular,4
al-ajaweed,Taza Special Sauces,Garlic Sauce,regular,1
al-ajaweed,Taza Special Sauces,Garlic Spicy,regular,1.5
al-ajaweed,Taza Special Sauces,Cocktail,regular,2
al-ajaweed,Taza Special Sauces,Cheese,regular,2
al-ajaweed,Taza Special Sauces,Dynamic Sauce,regular,2
al-ajaweed,Taza Sandwiches,Sandwich Zinger,sandwich,9
